Participant,Att,PolAffil,,,,,
1,1,"Closer to
liberals

3
",,,,,
2,1,"Closer to
liberals

3
",,,,,
3,0,"Very liberal

1",,,,,
4,0,"Somewhat
liberal

2
",,,,,
5,1,"Very liberal

1",,,,,
6,0,"Somewhat
liberal

2
",,,,,
7,1,"Somewhat
liberal

2
",,,,,
8,0,"Very liberal

1",,,,,
9,0,"Very liberal

1",,,,,
10,0,"Somewhat
liberal

2
",,,,,
11,0,"Very liberal

1",,,,,
12,1,"Closer to
liberals

3
",,,,,
13,0,"Somewhat
liberal

2
",,,,,
14,0,"Closer to
liberals

3
",,,,,
15,1,"Somewhat
liberal

2
",,,,,
16,1,"Very liberal

1",,,,,
17,0,"Closer to
liberals

3
",,,,,
18,0,"Very liberal

1",,,,,
19,0,"Somewhat
liberal

2
",,,,,
20,1,"Very liberal

1",,,,,
21,1,"Somewhat
liberal

2
",,,,,
22,0,"Closer to
liberals

3
",,,,,
23,0,"Somewhat
liberal

2
",,,,,
24,1,"Very liberal

1",,,,,
25,0,"Somewhat
liberal

2
",,,,,
26,0,"Very liberal

1",,,,,
27,1,"Somewhat
liberal

2
",,,,,
28,0,"Somewhat
liberal

2
",,,,,
29,0,"Closer to
liberals

3
",,,,,
30,1,"Somewhat
liberal

2
",,,,,
31,0,"Very liberal

1",,,,,
32,0,"Very liberal

1",,,,,
33,0,"Very liberal

1",,,,,
34,2,"Very liberal

1",,,,,
35,0,"Very liberal

1",,,,,
36,0,"Very liberal

1",,,,,
37,0,"Very liberal

1",,,,,
38,0,"Very liberal

1",,,,,
39,3,"Very liberal

1",,,,,
40,1,"Somewhat
liberal

2
",,,,,
41,0,"Very liberal

1",,,,,
42,1,"Somewhat
liberal

2
",,,,,
43,0,"Somewhat
liberal

2
",,,,,
44,1,"Closer to
liberals

3
",,,,,
45,0,"Somewhat
liberal

2
",,,,,
46,1,"Very liberal

1",,,,,
47,1,"Closer to
liberals

3
",,,,,
48,0,"Closer to
liberals

3
",,,,,
49,1,"Very liberal

1",,,,,
50,0,"Very liberal

1",,,,,
51,1,"Somewhat
liberal

2
",,,,,
52,1,"Very liberal

1",,,,,
53,1,"Very liberal

1",,,,,
54,0,"Somewhat
liberal

2
",,,,,
55,0,"Somewhat
liberal

2
",,,,,
56,0,"Very liberal

1",,,,,
57,0,"Very liberal

1",,,,,
58,1,"Very liberal

1",,,,,
59,1,"Very liberal

1",,,,,
60,1,"Very liberal

1",,,,,
61,1,"Very liberal

1",,,,,
62,1,"Very liberal

1",,,,,
63,0,"Somewhat
liberal

2
",,,,,
64,0,"Closer to
liberals

3
",,,,,
65,1,"Somewhat
liberal

2
",,,,,
66,0,"Somewhat
liberal

2
",,,,,
67,1,"Closer to
liberals

3
",,,,,
68,1,"Somewhat
liberal

2
",,,,,
69,1,"Somewhat
liberal

2
",,,,,
70,1,"Closer to
liberals

3
",,,,,
71,0,"Very liberal

1",,,,,
72,1,"Very liberal

1",,,,,
73,0,"Very liberal

1",,,,,
74,0,"Closer to
liberals

3
",,,,,
75,1,"Closer to
liberals

3
",,,,,
76,1,"Somewhat
liberal

2
",,,,,
77,1,"Very liberal

1",,,,,
78,0,"Closer to
liberals

3
",,,,,
79,0,"Very liberal

1",,,,,
80,1,"Somewhat
liberal

2
",,,,,
81,1,"Closer to
liberals

3
",,,,,
82,1,"Closer to
liberals

3
",,,,,
83,0,"Somewhat
liberal

2
",,,,,
84,1,"Very liberal

1",,,,,
85,0,"Very liberal

1",,,,,
86,1,"Very liberal

1",,,,,
87,1,"Very liberal

1",,,,,
88,1,"Somewhat
liberal

2
",,,,,
89,1,"Very liberal

1",,,,,
90,1,"Somewhat
liberal

2
",,,,,
91,0,"Closer to
liberals

3
",,,,,
92,1,"Very liberal

1",,,,,
93,1,"Very liberal

1",,,,,
94,1,"Somewhat
liberal

2
",,,,,
95,0,"Very liberal

1",,,,,
96,1,"Very liberal

1",,,,,
97,1,"Somewhat
liberal

2
",,,,,
98,2,"Closer to
liberals

3
",,,,,
99,0,"Closer to
liberals

3
",,,,,
100,1,"Somewhat
liberal

2
",,,,,
101,0,"Somewhat
liberal

2
",,,,,
102,1,"Somewhat
liberal

2
",,,,,
103,1,"Somewhat
liberal

2
",,,,,
104,1,"Somewhat
liberal

2
",,,,,
105,1,"Very liberal

1",,,,,
106,0,"Very liberal

1",,,,,
107,0,"Somewhat
liberal

2
",,,,,
108,1,"Somewhat
liberal

2
",,,,,
109,0,"Very liberal

1",,,,,
110,0,"Closer to
liberals

3
",,,,,
111,0,"Somewhat
liberal

2
",,,,,
112,0,"Closer to
liberals

3
",,,,,
113,2,"Somewhat
liberal

2
",,,,,
114,1,"Very liberal

1",,,,,
115,1,"Somewhat
liberal

2
",,,,,
116,0,"Closer to
liberals

3
",,,,,
117,1,"Closer to
liberals

3
",,,,,
118,1,"Somewhat
liberal

2
",,,,,
119,1,"Very liberal

1",,,,,
120,0,"Very liberal

1",,,,,
121,1,"Closer to
liberals

3
",,,,,
122,1,"Very liberal

1",,,,,
123,1,"Somewhat
liberal

2
",,,,,
124,2,"Somewhat
liberal

2
",,,,,
125,1,"Closer to
liberals

3
",,,,,
126,0,"Very liberal

1",,,,,
127,1,"Somewhat
liberal

2
",,,,,
128,1,"Very liberal

1",,,,,
129,0,"Somewhat
liberal

2
",,,,,
130,1,"Very liberal

1",,,,,
131,1,"Somewhat
liberal

2
",,,,,
132,0,"Closer to
liberals

3
",,,,,
133,0,"Somewhat
liberal

2
",,,,,
134,0,"Very liberal

1",,,,,
135,0,"Somewhat
liberal

2
",,,,,
136,1,"Closer to
liberals

3
",,,,,
137,1,"Very liberal

1",,,,,
138,1,"Somewhat
liberal

2
",,,,,
139,0,"Closer to
liberals

3
",,,,,
140,0,"Very liberal

1",,,,,
141,1,"Somewhat
liberal

2
",,,,,
142,1,"Very liberal

1",,,,,
143,1,"Closer to
liberals

3
",,,,,
144,0,"Somewhat
liberal

2
",,,,,
145,1,"Somewhat
liberal

2
",,,,,
146,1,"Somewhat
liberal

2
",,,,,
147,0,"Closer to
liberals

3
",,,,,
148,0,"Very liberal

1",,,,,
149,1,"Very liberal

1",,,,,
150,0,"Very liberal

1",,,,,
151,1,"Very liberal

1",,,,,
152,1,"Closer to
liberals

3
",,,,,
153,1,"Closer to
liberals

3
",,,,,
154,1,"Very liberal

1",,,,,
155,1,"Somewhat
liberal

2
",,,,,
156,0,"Somewhat
liberal

2
",,,,,
157,1,"Somewhat
liberal

2
",,,,,
158,1,"Somewhat
liberal

2
",,,,,
159,1,"Very liberal

1",,,,,
160,1,"Very liberal

1",,,,,
161,2,"Somewhat
liberal

2
",,,,,
162,2,"Very liberal

1",,,,,
163,1,"Very liberal

1",,,,,
164,0,"Very liberal

1",,,,,
165,1,"Very liberal

1",,,,,
166,1,"Very liberal

1",,,,,
167,1,"Closer to
liberals

3
",,,,,
168,0,"Somewhat
liberal

2
",,,,,
169,0,"Very liberal

1",,,,,
170,1,"Very liberal

1",,,,,
171,1,"Very liberal

1",,,,,
172,1,"Very liberal

1",,,,,
173,0,"Closer to
liberals

3
",,,,,
174,0,"Closer to
liberals

3
",,,,,
175,0,"Somewhat
liberal

2
",,,,,
176,0,"Somewhat
liberal

2
",,,,,
177,1,"Somewhat
liberal

2
",,,,,
178,1,"Somewhat
liberal

2
",,,,,
179,0,"Somewhat
liberal

2
",,,,,
180,1,"Somewhat
liberal

2
",,,,,
181,1,"Very liberal

1",,,,,
182,1,"Very liberal

1",,,,,
183,0,"Somewhat
liberal

2
",,,,,
184,2,"Somewhat
liberal

2
",,,,,
185,1,"Closer to
liberals

3
",,,,,
186,1,"Somewhat
liberal

2
",,,,,
187,1,"Very liberal

1",,,,,
188,0,"Somewhat
liberal

2
",,,,,
189,1,"Very liberal

1",,,,,
190,0,"Very liberal

1",,,,,
191,2,"Somewhat
liberal

2
",,,,,
192,1,"Somewhat
liberal

2
",,,,,
193,1,"Very liberal

1",,,,,
194,1,"Closer to
liberals

3
",,,,,
195,0,"Very liberal

1",,,,,
196,0,"Very liberal

1",,,,,
197,0,"Closer to
liberals

3
",,,,,
198,0,"Very liberal

1",,,,,
199,0,"Somewhat
liberal

2
",,,,,
200,0,"Very liberal

1",,,,,
201,1,"Somewhat
liberal

2
",,,,,
202,0,"Very liberal

1",,,,,
203,1,"Somewhat
liberal

2
",,,,,
204,0,"Closer to
liberals

3
",,,,,
205,0,"Very liberal

1",,,,,
206,1,"Somewhat
liberal

2
",,,,,
207,0,"Closer to
liberals

3
",,,,,
208,0,"Somewhat
liberal

2
",,,,,
209,1,"Somewhat
liberal

2
",,,,,
210,1,"Somewhat
liberal

2
",,,,,
211,1,"Closer to
liberals

3
",,,,,
212,0,"Closer to
liberals

3
",,,,,
213,0,"Somewhat
liberal

2
",,,,,
214,1,"Somewhat
liberal

2
",,,,,
215,1,"Closer to
liberals

3
",,,,,
216,1,"Closer to
liberals

3
",,,,,
217,1,"Very liberal

1",,,,,
218,0,"Very liberal

1",,,,,
219,0,"Somewhat
liberal

2
",,,,,
220,0,"Somewhat
liberal

2
",,,,,
221,0,"Somewhat
liberal

2
",,,,,
