"","X","Participant","Group","firstSample","Val","Condition","in_samples","out_samples","In.Est","Out.Est"
"1",1,"R_00LjhorSM2hoEb7","Dem",1,"neg",2,6,5,61,61
"2",2,"R_0Ao0vbabtWGnWJH","Dem",0,"pos",3,1,1,67,49
"3",3,"R_0DvoEIDobcalKmt","Dem",0,"pos",2,3,3,69,64
"4",4,"R_0fF049XjmE5ddCh","Dem",0,"neg",3,11,13,72,67
"5",5,"R_0TbhkeuhhCIFMlj","Dem",0,"neg",3,5,5,68,64
"6",6,"R_0Uli2WuiZKjO2lz","Dem",0,"pos",3,6,6,79,63
"7",7,"R_0wHmTmBCQKb1Dk5","Dem",0,"pos",1,2,2,76,62
"8",8,"R_10A8ddOwJz8EOyQ","Dem",0,"neg",1,6,3,60,65
"9",9,"R_10AEoGxm0JoOOrF","Dem",0,"neg",3,7,9,90,1
"10",10,"R_10B0hzJyZviJvfy","Dem",0,"neg",2,6,6,72,68
"11",11,"R_10G9seWzBRW5CCl","Dem",0,"neg",2,3,0,55,65
"12",12,"R_10IPM6ODAVuFR7Z","Dem",0,"pos",1,2,1,64,65
"13",13,"R_10vl0rcsqNHilRG","Dem",1,"neg",2,7,6,55,62
"14",14,"R_115Catd6urc94mq","Dem",0,"neg",3,11,7,79,27
"15",15,"R_117TxjKq5DcDpP4","Dem",0,"neg",1,4,4,49,43
"16",16,"R_12ltD2h46FegF18","Dem",0,"pos",3,5,5,70,65
"17",17,"R_12Pe7GfeiHVB6LZ","Dem",0,"neg",3,3,3,55,70
"18",18,"R_12zPFySUYIPhnh0","Dem",0,"neg",3,2,0,63,46
"19",19,"R_1ADUY2wi9sS2g0h","Dem",0,"neg",2,9,9,55,67
"20",20,"R_1C2Tva5QGb7v7lX","Dem",0,"pos",3,6,5,75,50
"21",21,"R_1CeiGGdlgYhoP1v","Dem",0,"pos",3,3,3,83,62
"22",22,"R_1CHpihQH0eQDMwV","Dem",1,"pos",2,10,10,64,67
"23",23,"R_1cTH6HOIJV1DFUY","Dem",0,"pos",1,1,1,75,53
"24",24,"R_1cVe3hZV9SyMK2F","Dem",0,"pos",2,4,4,64,47
"25",25,"R_1d5hTI2OC3bVYCj","Dem",1,"neg",1,12,11,65,64
