Participant,group,Att
R_00LjhorSM2hoEb7,dem,0
R_0Ao0vbabtWGnWJH,dem,1
R_0DvoEIDobcalKmt,dem,0
R_0fF049XjmE5ddCh,dem,1
R_0TbhkeuhhCIFMlj,dem,1
R_0Uli2WuiZKjO2lz,dem,1
R_0wHmTmBCQKb1Dk5,dem,0
R_10A8ddOwJz8EOyQ,dem,1
R_10AEoGxm0JoOOrF,dem,0
R_10B0hzJyZviJvfy,dem,0
R_10G9seWzBRW5CCl,dem,0
R_10IPM6ODAVuFR7Z,dem,1
R_10vl0rcsqNHilRG,dem,1
R_115Catd6urc94mq,dem,1
R_117TxjKq5DcDpP4,dem,0
R_12ltD2h46FegF18,dem,0
R_12Pe7GfeiHVB6LZ,dem,1
R_12zPFySUYIPhnh0,dem,1
R_1ADUY2wi9sS2g0h,dem,1
R_1C2Tva5QGb7v7lX,dem,0
R_1CeiGGdlgYhoP1v,dem,1
R_1CHpihQH0eQDMwV,dem,1
R_1cTH6HOIJV1DFUY,dem,1
R_1cVe3hZV9SyMK2F,dem,0
R_1d5hTI2OC3bVYCj,dem,1
R_1da9l4Ilz5nPJxS,dem,1
R_1dgc1ch39dvUJlt,dem,0
R_1dGmhEnMg635jrp,dem,1
R_1DImA49yhmSLuMy,dem,0
R_1dL95vQuhrbDK9X,dem,0
R_1DOkU37W1r9jpG0,dem,0
R_1DZ7SCsQ6CLjinb,dem,0
R_1DZpmkxDteN0wc1,dem,0
R_1E1gbqRsPKKCAYc,dem,0
R_1E5QkIEXjw9tYgb,dem,0
R_1eIt1mPbAJOGjvZ,dem,0
R_1esALLujeAaRF6z,dem,0
R_1eUBtrqhLpAQBRd,dem,0
R_1f313cdcBJNXZZo,dem,0
R_1FhbpCVv6TMVarJ,dem,0
R_1FlZ0tKwc9WwTRl,dem,0
R_1FOJwtjMT2Lg3Jj,dem,0
R_1FPodxrCZ0xA8Qt,dem,0
R_1FQWVa7Xz2dEx0z,dem,0
R_1FtEOMaF63sQFKP,dem,1
R_1g15UQwGjYKWFl3,dem,1
R_1g1K1hk9dmetG8H,dem,1
R_1gb8xJEpVdJVQhN,dem,0
R_1gGCJcJymif912W,dem,1
R_1gMX9CEVSXGtCw3,dem,1
R_1gqMEYPQTA99qb8,dem,0
R_1H2JCP7DUyLxp8u,dem,1
R_1H6UluvSs9h6sMB,dem,1
R_1HbraX5ggXday1M,dem,1
R_1HhurW2TLSCh8bB,dem,1
R_1HpZbJuTxNieGAA,dem,1
R_1hTiXbSKNZguwIJ,dem,0
R_1hySCt7HcZx12sZ,dem,1
R_1hZ0uX4MP14IYFj,dem,0
R_1hz3Yxv7Q5A2J0o,dem,1
R_1IE0jwyb1TQ0zbz,dem,1
R_1IFPk3ibi68jUqJ,dem,0
R_1IgUac3zB2UB7Xz,dem,3
R_1ILdcDA8NhmivVC,dem,0
