"","X","Participant","firstSample","honesty_Q","totMturkStudies","totEconStudies","totPsychStudies","age","gender","education","income","Pol.Affil","Val","Condition","SDO","HH","EX","Att","BFI_Open","SE_Mem","SE_Private","SE_Public","SE_Importance","ethnicity","group","n_trials","in_samples","out_samples","In.Est","Out.Est"
"1",1,"R_00LjhorSM2hoEb7",1,NA,"400","40","200",59,1,2,5,2,"neg",2,1.625,5.1,3.7,0,3.083333333,6,6.666666667,6.333333333,4,0,"dem",11,6,5,61,61
"2",2,"R_0Ao0vbabtWGnWJH",0,NA,"1000","150","250",28,1,5,2,2,"pos",3,1.375,3.7,3.5,1,2.833333333,6,6,4.333333333,4.5,0,"dem",2,1,1,67,49
"3",3,"R_0DvoEIDobcalKmt",0,NA,"4200","50","3000",68,1,2,2,1,"pos",2,1.75,5.1,4.8,0,2.666666667,6,6.666666667,4,6,0,"dem",6,3,3,69,64
"4",4,"R_0fF049XjmE5ddCh",0,NA,"21300","320","17000",43,1,3,7,2,"neg",3,2.75,3.5,4.9,1,3.416666667,6.333333333,7,4,4.5,1,"dem",24,11,13,72,67
"5",5,"R_0TbhkeuhhCIFMlj",0,NA,"5000","200","600",38,1,4,2,1,"neg",3,1.125,4.5,3.6,1,3.25,5.666666667,6,3.333333333,5.5,0,"dem",10,5,5,68,64
"6",6,"R_0Uli2WuiZKjO2lz",0,NA,"10","1","4",23,1,4,7,3,"pos",3,3.125,5,4,1,2.833333333,5,5.333333333,4.666666667,4,0,"dem",12,6,6,79,63
"7",7,"R_0wHmTmBCQKb1Dk5",0,NA,"4500","no sure","no sure",51,1,1,0,2,"pos",1,2.75,4.4,2.8,0,3.416666667,5,6.333333333,5.333333333,4.5,0,"dem",4,2,2,76,62
"8",8,"R_10A8ddOwJz8EOyQ",0,NA,"6788","300","1000",59,1,3,6,1,"neg",1,2.625,4.9,4.8,1,2.833333333,4.666666667,5,4.666666667,4.5,0,"dem",9,6,3,60,65
"9",9,"R_10AEoGxm0JoOOrF",0,NA,"4000","100","300",21,0,1,0,1,"neg",3,3.125,4.1,3.9,0,3.083333333,5,3.666666667,1.666666667,6.5,0,"dem",16,7,9,90,1
"10",10,"R_10B0hzJyZviJvfy",0,NA,"4000","20","3000",34,1,5,7,1,"neg",2,2.5,3.1,6,0,3,7,4.333333333,3.333333333,4.5,0,"dem",12,6,6,72,68
