"","X","Participant","imp","Val","Condition","group","in_samples","out_samples","firstSample","In.Est","Out.Est"
"1",1,"R_033BftAKPgz9wtP","posOutgroup","pos",2,"dem",6,6,1,62,73
"2",2,"R_0Ng66QY9QcqXFcd","posIngroup","pos",1,"dem",10,10,0,40,66
"3",3,"R_10AyiiQ56y4ckq7","negIngroup","neg",2,"dem",1,0,0,64,62
"4",4,"R_10GDW1EcyPxUGWM","negIngroup","neg",1,"dem",2,2,1,74,66
"5",5,"R_10UwdRkOE7MqM5m","posIngroup","pos",2,"dem",6,8,1,55,62
"6",6,"R_10UYvX0ckkNzVM9","negIngroup","neg",3,"dem",4,4,1,72,60
"7",7,"R_10x9Ob845C3VAFU","posIngroup","pos",3,"dem",4,4,1,67,64
"8",8,"R_11aOMtBT4uc5svP","posOutgroup","pos",3,"dem",7,10,0,65,60
"9",9,"R_11gyJFTzgJeEdsq","negIngroup","neg",2,"dem",10,8,1,68,74
"10",10,"R_11ZnNmABCB2FJxf","negIngroup","neg",3,"dem",2,0,0,69,68
"11",11,"R_124QnQHJOfl6p2H","posIngroup","pos",3,"dem",5,5,0,68,71
"12",12,"R_12En14IiK2vX3Py","negOutgroup","neg",3,"dem",6,6,1,80,75
"13",13,"R_12lQZxT9G6g3DZR","negOutgroup","neg",1,"dem",1,2,0,56,72
"14",14,"R_12ojRLCZOifLkMQ","posIngroup","pos",3,"dem",4,4,1,77,61
"15",15,"R_12Sw1kMoAc5LoX7","posOutgroup","pos",2,"dem",1,3,0,62,58
"16",16,"R_1BUUvTXm4rTKjLe","negOutgroup","neg",1,"dem",4,4,1,53,65
"17",17,"R_1BVOfvgaANFKXnM","posIngroup","pos",2,"dem",14,13,0,70,65
"18",18,"R_1BY4R5fA1jRMWdy","negIngroup","neg",3,"dem",2,2,0,83,60
"19",19,"R_1C9efAQOqsGHOKJ","negIngroup","neg",1,"dem",17,11,0,61,66
"20",20,"R_1CEDIYMvvGLhqV0","posIngroup","pos",3,"dem",5,5,0,73,52
"21",21,"R_1CfFKLyIzgq6Gta","negIngroup","neg",2,"dem",2,0,1,60,60
"22",22,"R_1CguhcQn2h0plNP","negIngroup","neg",2,"dem",5,5,1,68,68
"23",23,"R_1CkYQvEU5FO4Irz","negOutgroup","neg",1,"dem",5,5,0,63,66
"24",24,"R_1CmwTN2NQK9L6DH","posOutgroup","pos",1,"dem",5,5,1,66,84
"25",25,"R_1Cr6dl8MoEV8rH4","negIngroup","neg",1,"dem",4,4,1,75,65
"26",26,"R_1CvHh1CiZMUk4G8","posOutgroup","pos",3,"dem",4,4,0,72,68
"27",27,"R_1cXGE2QlahRc3Nd","negIngroup","neg",2,"dem",5,2,0,60,65
"28",28,"R_1d9VahJcG42xTIa","negOutgroup","neg",1,"dem",4,4,1,72,62
"29",29,"R_1dGoFEGWmucpIHe","negIngroup","neg",2,"dem",3,3,0,66,47
