Participant,Pol.Affil,Att
R_033BftAKPgz9wtP,3,1
R_0Ng66QY9QcqXFcd,3,1
R_10AyiiQ56y4ckq7,1,1
R_10GDW1EcyPxUGWM,1,1
R_10UwdRkOE7MqM5m,2,1
R_10UYvX0ckkNzVM9,3,1
R_10x9Ob845C3VAFU,2,1
R_11aOMtBT4uc5svP,2,1
R_11gyJFTzgJeEdsq,3,1
R_11ZnNmABCB2FJxf,1,0
R_124QnQHJOfl6p2H,3,0
R_12En14IiK2vX3Py,2,0
R_12lQZxT9G6g3DZR,2,0
R_12ojRLCZOifLkMQ,1,1
R_12Sw1kMoAc5LoX7,2,0
R_1BUUvTXm4rTKjLe,2,0
R_1BVOfvgaANFKXnM,2,1
R_1BY4R5fA1jRMWdy,1,1
R_1C9efAQOqsGHOKJ,1,0
R_1CEDIYMvvGLhqV0,2,1
R_1CfFKLyIzgq6Gta,3,1
R_1CguhcQn2h0plNP,2,1
R_1CkYQvEU5FO4Irz,2,1
R_1CmwTN2NQK9L6DH,2,2
R_1Cr6dl8MoEV8rH4,1,0
R_1CvHh1CiZMUk4G8,1,0
R_1cXGE2QlahRc3Nd,1,0
R_1d9VahJcG42xTIa,1,1
R_1dGoFEGWmucpIHe,2,0
R_1DHCbfanc0H7poM,1,0
R_1dj0dBZq8yfOi3W,3,0
R_1dovhkRz4pCagI4,2,1
R_1dxX0f74LlXCqRY,1,0
R_1dz4JhuGxxQegPk,2,1
R_1E0OaW0sohePmDn,2,0
R_1eEpsCCWvevAE8J,1,0
R_1eFQA62WMWmJuje,3,1
R_1f1PGdEI76pEDo3,3,1
R_1F2MDN3GzTlVB1y,1,1
R_1F3dwCNL0PprcEo,2,1
R_1F5591bRrvaJcDG,1,1
R_1f8AzMzwpYIpNzs,3,0
R_1FjihMH7kEuwTxD,3,0
R_1fkEHinm4VLH96i,3,1
R_1fkZR5f1WPRfxEY,1,0
R_1FrB0p7tvOS2SUf,2,1
R_1g6I6iiEwGahWgM,1,1
R_1GBx4wbrNh7eJWl,2,0
R_1GBx9zTtCnXHQJK,2,0
R_1gbXvxFk4u9CtEs,2,0
R_1GNgJouDxWUYQFY,1,1
R_1goKCaeHxeCW2Ms,1,1
R_1GPlCooQTUzoEen,2,1
R_1gqFCypCCeA94Ph,2,1
R_1hETMgOPTnhkFAM,3,1
R_1hM7BjCYzZ7YbZB,3,1
R_1HoeIo0FqRHrfa8,1,1
R_1hPSIRL26qADu0k,2,1
R_1I42YakLZ1vRf5a,1,0
R_1i98om0ocB6toSw,2,1
R_1iasNGbWqI7Cdsf,2,0
