"","X","Participant","honesty_Q","totMturkStudies","totEconStudies","totPsychStudies","age","gender","education","income","Pol.Affil","threat1","threat2","Q1350","Q.B_P.status_1","Q.B_P.status_2","imp","Val","Condition","HH","EX","Att","NFC","ethnicity","group","n_trials","in_samples","out_samples","In.Est","Out.Est"
"1",1,"R_033BftAKPgz9wtP",6,"500","50","150",55,0,7,7,3,5,3,5,30,72,"posOutgroup","pos",2,5.6,4.2,1,4,0,"dem",12,6,6,62,73
"2",2,"R_0Ng66QY9QcqXFcd",6,"750","120","40",41,1,3,0,3,2,5,5,61,26,"posIngroup","pos",1,4.7,4.7,1,3.82352941176471,0,"dem",20,10,10,40,66
"3",3,"R_10AyiiQ56y4ckq7",3,"2000","100","200",34,0,4,6,1,1,2,5,38,70,"negIngroup","neg",2,3.8,3.1,1,3,0,"dem",1,1,0,64,62
"4",4,"R_10GDW1EcyPxUGWM",7,"26000","1000","5000",60,1,2,7,1,1,4,4,55,66,"negIngroup","neg",1,4.3,4.9,1,4.05882352941176,1,"dem",4,2,2,74,66
"5",5,"R_10UwdRkOE7MqM5m",6,"3000","15","50",27,1,4,7,2,3,3,6,60,55,"posIngroup","pos",2,4.3,5.3,1,3.82352941176471,0,"dem",14,6,8,55,62
"6",6,"R_10UYvX0ckkNzVM9",6,"1000","200","100",25,0,2,5,3,5,4,5,51,47,"negIngroup","neg",3,4.1,4.4,1,3.23529411764706,1,"dem",8,4,4,72,60
"7",7,"R_10x9Ob845C3VAFU",6,"1600","10","50",23,1,4,3,2,1,2,2,35,90,"posIngroup","pos",3,3.5,3.9,1,2.94117647058824,0,"dem",8,4,4,67,64
"8",8,"R_11aOMtBT4uc5svP",6,"1000","200","500",56,1,3,7,2,2,4,5,58,58,"posOutgroup","pos",3,4,5.5,1,4.11764705882353,0,"dem",17,7,10,65,60
"9",9,"R_11gyJFTzgJeEdsq",6,"50","20","10",27,0,4,5,3,5,6,5,73,76,"negIngroup","neg",2,4.3,4.7,1,2.47058823529412,0,"dem",18,10,8,68,74
"10",10,"R_11ZnNmABCB2FJxf",6,"4700","250","400",36,1,2,7,1,3,3,2,52,48,"negIngroup","neg",3,4.6,5.3,0,4.58823529411765,0,"dem",2,2,0,69,68
"11",11,"R_124QnQHJOfl6p2H",5,"500","25","300",31,1,4,4,3,3,4,2,57,52,"posIngroup","pos",3,3.6,3.4,0,3.17647058823529,0,"dem",10,5,5,68,71
"12",12,"R_12En14IiK2vX3Py",6,"5000","50","1000",58,1,5,6,2,1,1,5,60,60,"negOutgroup","neg",3,4.1,NA,0,3.88235294117647,0,"dem",12,6,6,80,75
"13",13,"R_12lQZxT9G6g3DZR",7,"500","100","400",42,0,4,7,2,3,3,6,75,95,"negOutgroup","neg",1,5.1,2.9,0,4.11764705882353,0,"dem",3,1,2,56,72
"14",14,"R_12ojRLCZOifLkMQ",7,"150","30","15",27,1,4,7,1,6,7,6,83,61,"posIngroup","pos",3,4,3.8,1,2.52941176470588,0,"dem",8,4,4,77,61
"15",15,"R_12Sw1kMoAc5LoX7",7,"13800","3000","6000",57,0,4,2,2,3,3,5,60,40,"posOutgroup","pos",2,5.2,3.9,0,3.82352941176471,0,"dem",4,1,3,62,58
"16",16,"R_1BUUvTXm4rTKjLe",7,"70","5","30",24,0,4,7,2,3,3,4,50,90,"negOutgroup","neg",1,5.1,3.7,0,3.58823529411765,1,"dem",8,4,4,53,65
"17",17,"R_1BVOfvgaANFKXnM",6,"1300","20","40",29,1,2,3,2,1,3,3,69,5,"posIngroup","pos",2,4.1,3.6,1,4.17647058823529,0,"dem",27,14,13,70,65
"18",18,"R_1BY4R5fA1jRMWdy",6,"4000","1000","1000",31,0,2,0,1,1,1,6,61,20,"negIngroup","neg",3,3.3,3.7,1,3.41176470588235,0,"dem",4,2,2,83,60
"19",19,"R_1C9efAQOqsGHOKJ",4,"10000","100","1000",39,0,5,7,1,4,4,3,60,70,"negIngroup","neg",1,4.6,4.3,0,4.64705882352941,0,"dem",28,17,11,61,66
"20",20,"R_1CEDIYMvvGLhqV0",5,"15000","1000","8000",34,0,4,5,2,2,2,5,41,64,"posIngroup","pos",3,4.2,4.5,1,3.94117647058824,1,"dem",10,5,5,73,52
"21",21,"R_1CfFKLyIzgq6Gta",7,"10","2","3",27,1,4,5,3,4,1,4,60,30,"negIngroup","neg",2,2.8,5.3,1,4.52941176470588,1,"dem",2,2,0,60,60
"22",22,"R_1CguhcQn2h0plNP",7,"2350","30","500",66,0,4,7,2,2,2,6,31,70,"negIngroup","neg",2,5.3,2.8,1,4.29411764705882,0,"dem",10,5,5,68,68
"23",23,"R_1CkYQvEU5FO4Irz",6,"2,000","50","100",24,0,4,7,2,3,3,6,79,62,"negOutgroup","neg",1,4,3,1,3.58823529411765,1,"dem",10,5,5,63,66
"24",24,"R_1CmwTN2NQK9L6DH",4,"173000","20000","3000",25,1,4,5,2,5,4,6,76,96,"posOutgroup","pos",1,4.3,4.2,2,2.94117647058824,1,"dem",10,5,5,66,84
